epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2346.36,0.71109,0.38901,0.98718,0.98562,0.96491,0.97848,0.71944,0.5744,0.26989,0.91858,0.0087328,0.0087328,0.0087328
66,2382.31,0.6998,0.37447,0.9816,0.98994,0.95892,0.9763,0.72183,0.57601,0.26876,0.91952,0.008713,0.008713,0.008713
67,2417.94,0.70048,0.37486,0.9826,0.97025,0.95723,0.97379,0.71504,0.57936,0.26335,0.92943,0.0086932,0.0086932,0.0086932
68,2453.56,0.71284,0.37872,0.9897,0.9813,0.96473,0.97492,0.72667,0.57428,0.26758,0.92701,0.0086734,0.0086734,0.0086734
69,2489.36,0.69384,0.37198,0.97512,0.98385,0.9686,0.98047,0.7218,0.56556,0.26893,0.91773,0.0086536,0.0086536,0.0086536
70,2525.17,0.69955,0.37362,0.98436,0.9828,0.95779,0.96823,0.71393,0.55532,0.24968,0.91792,0.0086338,0.0086338,0.0086338
71,2561.26,0.70162,0.38147,0.98268,0.9895,0.95524,0.97812,0.71384,0.56605,0.26903,0.92145,0.008614,0.008614,0.008614
72,2597.27,0.69879,0.37617,0.98512,0.96933,0.96959,0.97459,0.71462,0.5686,0.2697,0.92171,0.0085942,0.0085942,0.0085942
73,2633.19,0.70387,0.37707,0.98666,0.98487,0.9523,0.97957,0.71657,0.56188,0.2598,0.92232,0.0085744,0.0085744,0.0085744
74,2668.69,0.6985,0.37985,0.98833,0.98087,0.96441,0.97601,0.71912,0.55163,0.25895,0.91874,0.0085546,0.0085546,0.0085546
75,2704.25,0.6946,0.37227,0.98095,0.9852,0.96855,0.97737,0.71864,0.56248,0.25673,0.92021,0.0085348,0.0085348,0.0085348
76,2739.96,0.70383,0.37335,0.98434,0.98738,0.96391,0.97349,0.7131,0.57034,0.25653,0.91734,0.008515,0.008515,0.008515
77,2775.71,0.68837,0.36335,0.97898,0.98274,0.97528,0.97906,0.72226,0.56566,0.26096,0.9199,0.0084952,0.0084952,0.0084952
78,2811.38,0.70496,0.37917,0.98513,0.98584,0.97059,0.97952,0.71792,0.56492,0.25713,0.9228,0.0084754,0.0084754,0.0084754
79,2847.25,0.69206,0.36701,0.98068,0.98495,0.97059,0.97969,0.71933,0.56105,0.24742,0.92347,0.0084556,0.0084556,0.0084556
80,2883.15,0.68365,0.36518,0.97735,0.98942,0.97033,0.97966,0.71545,0.57178,0.2542,0.92466,0.0084358,0.0084358,0.0084358
81,2919.12,0.68064,0.37009,0.97459,0.97976,0.95823,0.97264,0.71705,0.57968,0.24801,0.92869,0.008416,0.008416,0.008416
82,2954.93,0.68647,0.37282,0.97618,0.9883,0.96491,0.98024,0.72795,0.56541,0.24895,0.92363,0.0083962,0.0083962,0.0083962
83,2990.87,0.68236,0.37075,0.97564,0.98372,0.96364,0.97616,0.72193,0.57309,0.2479,0.92618,0.0083764,0.0083764,0.0083764
84,3026.5,0.68608,0.36829,0.97494,0.97405,0.97059,0.97513,0.7177,0.57978,0.25099,0.92487,0.0083566,0.0083566,0.0083566
85,3062.5,0.68376,0.3652,0.97569,0.97031,0.97059,0.97401,0.71653,0.57026,0.25019,0.9252,0.0083368,0.0083368,0.0083368
86,3098.48,0.68223,0.361,0.97713,0.97178,0.968,0.97311,0.72457,0.5637,0.25029,0.92169,0.008317,0.008317,0.008317
87,3134.32,0.67585,0.36096,0.97381,0.96314,0.97627,0.97446,0.71513,0.55468,0.24441,0.91817,0.0082972,0.0082972,0.0082972
88,3170.24,0.68197,0.36107,0.97363,0.97248,0.96632,0.97689,0.72818,0.55106,0.24606,0.9168,0.0082774,0.0082774,0.0082774
89,3206.39,0.67381,0.36039,0.97271,0.96908,0.97513,0.97194,0.7201,0.55458,0.24309,0.92063,0.0082576,0.0082576,0.0082576
90,3242.53,0.67366,0.35546,0.97113,0.96416,0.97627,0.974,0.71614,0.55674,0.23813,0.91985,0.0082378,0.0082378,0.0082378
91,3278.4,0.66787,0.3581,0.97189,0.97597,0.96702,0.97515,0.72199,0.57925,0.25472,0.92686,0.008218,0.008218,0.008218
92,3314.56,0.67615,0.36099,0.974,0.97043,0.97328,0.97009,0.71276,0.57078,0.25118,0.92138,0.0081982,0.0081982,0.0081982
93,3350.48,0.67658,0.36328,0.97044,0.97236,0.97373,0.97477,0.72006,0.57089,0.24445,0.92187,0.0081784,0.0081784,0.0081784
94,3386.33,0.6718,0.35477,0.97177,0.98709,0.95579,0.97631,0.72037,0.57311,0.25616,0.92217,0.0081586,0.0081586,0.0081586
95,3421.97,0.67171,0.35318,0.9708,0.98791,0.95646,0.97694,0.72267,0.57091,0.25547,0.92228,0.0081388,0.0081388,0.0081388
96,3457.67,0.66754,0.35813,0.96602,0.98775,0.9567,0.97879,0.72307,0.57057,0.25558,0.92066,0.008119,0.008119,0.008119
97,3493.74,0.67552,0.35503,0.97351,0.96973,0.97076,0.97815,0.71641,0.56826,0.25077,0.92188,0.0080992,0.0080992,0.0080992
98,3529.67,0.66983,0.3523,0.96897,0.98325,0.9705,0.97746,0.72182,0.56765,0.24522,0.92354,0.0080794,0.0080794,0.0080794
99,3565.58,0.66489,0.35468,0.96862,0.98704,0.96265,0.97744,0.72079,0.5498,0.24041,0.91695,0.0080596,0.0080596,0.0080596
100,3601.38,0.66433,0.3538,0.96415,0.98633,0.96882,0.97685,0.7233,0.54455,0.24627,0.91621,0.0080398,0.0080398,0.0080398
101,3636.95,0.66645,0.35418,0.97241,0.98464,0.96959,0.97569,0.72707,0.54835,0.24852,0.91749,0.00802,0.00802,0.00802
102,3672.7,0.65946,0.35671,0.9657,0.98226,0.96833,0.97574,0.71965,0.54778,0.24493,0.91452,0.0080002,0.0080002,0.0080002
