                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.81256,                0.45881,                 1.1089,                0.97333,                0.93065,                  0.968,                0.68834,                0.58271,                0.34159,                0.93058,              0.0090694,              0.0090694,              0.0090694
                     50,                0.81968,                0.44664,                  1.108,                0.94129,                 0.9362,                0.96122,                 0.6792,                0.60883,                0.50364,                0.95057,              0.0090496,              0.0090496,              0.0090496
                     51,                0.82384,                0.45975,                 1.1185,                0.96728,                0.93092,                0.97094,                 0.7051,                0.59292,                0.39255,                 0.9383,              0.0090298,              0.0090298,              0.0090298
                     52,                0.82468,                0.44209,                 1.1074,                0.97122,                 0.9249,                0.97261,                0.68136,                0.61271,                0.35429,                0.94508,                0.00901,                0.00901,                0.00901
                     53,                0.81418,                0.44008,                 1.1047,                0.97489,                  0.937,                0.96247,                0.66795,                0.61263,                0.38721,                0.94817,              0.0089902,              0.0089902,              0.0089902
                     54,                0.82413,                0.44382,                 1.1105,                0.95709,                0.93078,                0.96099,                0.68389,                0.60206,                 0.5151,                 0.9427,              0.0089704,              0.0089704,              0.0089704
                     55,                0.81202,                0.44163,                 1.1036,                0.95129,                0.94277,                0.94685,                0.67733,                0.60023,                0.40688,                0.94298,              0.0089506,              0.0089506,              0.0089506
                     56,                0.82184,                0.44615,                 1.1079,                0.96595,                0.95429,                0.97149,                 0.6826,                0.59681,                0.47265,                 0.9402,              0.0089308,              0.0089308,              0.0089308
                     57,                0.80702,                0.43984,                    1.1,                0.97535,                0.94726,                0.97403,                0.69382,                 0.5901,                0.41546,                0.92588,               0.008911,               0.008911,               0.008911
                     58,                 0.8108,                0.44418,                  1.108,                0.97205,                0.92772,                0.96368,                0.68552,                0.58402,                0.35703,                0.93084,              0.0088912,              0.0088912,              0.0088912
                     59,                0.79313,                0.42951,                 1.0935,                0.99604,                0.94138,                0.96633,                0.69487,                0.57754,                0.36244,                0.92327,              0.0088714,              0.0088714,              0.0088714
                     60,                0.79489,                0.42667,                 1.0962,                 0.9517,                0.94469,                0.96665,                0.68531,                0.59622,                0.63168,                  0.935,              0.0088516,              0.0088516,              0.0088516
                     61,                0.79885,                0.42253,                 1.0939,                0.98846,                0.94794,                0.97387,                0.68491,                0.58825,                0.32771,                0.92116,              0.0088318,              0.0088318,              0.0088318
                     62,                0.79735,                0.43155,                 1.0938,                0.97065,                0.93135,                 0.9696,                0.69047,                0.57843,                 0.3366,                0.92655,               0.008812,               0.008812,               0.008812
                     63,                0.78895,                0.42259,                 1.0896,                0.97898,                0.94415,                0.97423,                0.69814,                0.57584,                0.29595,                0.93423,              0.0087922,              0.0087922,              0.0087922
                     64,                0.78708,                0.42019,                 1.0889,                0.94897,                 0.9327,                0.95348,                0.68278,                0.58783,                0.45902,                0.92953,              0.0087724,              0.0087724,              0.0087724
                     65,                0.77878,                0.42006,                 1.0873,                0.98376,                0.93795,                0.97212,                0.68302,                0.61813,                0.64992,                0.95434,              0.0087526,              0.0087526,              0.0087526
                     66,                0.78058,                0.41688,                 1.0898,                 0.9822,                  0.937,                0.97076,                0.68511,                 0.5928,                0.34252,                0.94542,              0.0087328,              0.0087328,              0.0087328
                     67,                0.78414,                0.42068,                 1.0886,                0.95861,                0.92784,                0.95491,                0.68941,                0.58752,                0.30924,                 0.9328,               0.008713,               0.008713,               0.008713
                     68,                0.77092,                0.41637,                 1.0815,                0.96828,                0.91721,                 0.9588,                0.68884,                0.57548,                0.30194,                0.92988,              0.0086932,              0.0086932,              0.0086932
                     69,                0.78191,                 0.4126,                  1.088,                0.95013,                 0.9395,                0.96207,                0.68229,                0.58036,                 0.3002,                0.93203,              0.0086734,              0.0086734,              0.0086734
                     70,                0.78041,                0.41352,                   1.09,                0.94849,                0.95866,                0.98126,                0.69178,                0.57716,                0.34795,                0.93062,              0.0086536,              0.0086536,              0.0086536
                     71,                0.77364,                0.40907,                 1.0823,                 0.9672,                0.93406,                0.96493,                0.69083,                0.57782,                0.28771,                0.92326,              0.0086338,              0.0086338,              0.0086338
